date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/27,2317,元大-虎尾,003900380030006c,309,25,284,0.68,10,buy
8/27,2317,國泰-館前,0038003800380041,62,250,-188,0.45,10,sell
8/27,2317,富邦證券,9600,329,132,197,0.47,11,buy
8/27,2317,富邦-台中,003900360035004b,30,218,-188,0.45,11,sell
8/27,2317,富邦-斗六,0039003600320047,196,28,168,0.4,12,buy
8/27,2317,中國信託-三重,6161,18,193,-175,0.42,12,sell
8/27,2317,玉山證券,8840,209,67,142,0.34,13,buy
8/27,2317,凱基-台南,9211,28,201,-173,0.41,13,sell
8/27,2317,玉山-新莊,8842,219,104,115,0.27,14,buy
8/27,2317,群益金鼎-基隆,0039003100330045,2,158,-156,0.37,14,sell
8/27,2317,台新,0039004200300030,498,398,100,0.24,15,buy
8/27,2317,元大-大里,0039003800310067,16,170,-154,0.37,15,sell
8/27,2454,富邦證券,9600,1082,57,1025,12.31,1,buy
8/27,2454,美林,1440,209,1162,-953,11.45,1,sell
8/27,2454,港商麥格理,1360,597,12,585,7.03,2,buy
8/27,2454,凱基-站前,0039003200300046,10,336,-326,3.92,2,sell
8/27,2454,花旗環球,1590,614,312,302,3.63,3,buy
8/27,2454,華南永昌,9300,25,268,-243,2.92,3,sell
8/27,2454,永豐金-匯立,0039004100380031,167,16,151,1.81,4,buy
8/27,2454,凱基-台北,9268,181,415,-234,2.81,4,sell
8/27,2454,美商高盛,1480,611,467,144,1.73,5,buy
8/27,2454,新加坡商瑞銀,1650,97,258,-161,1.93,5,sell
8/27,2454,凱基,9200,153,26,127,1.53,6,buy
8/27,2454,國泰-敦南,8888,83,143,-60,0.72,6,sell
8/27,2454,台灣摩根士丹利,1470,447,337,110,1.32,7,buy
8/27,2454,永豐金-內湖,0039004100390067,10,55,-45,0.54,7,sell
8/27,2454,摩根大通,8440,324,233,91,1.09,8,buy
8/27,2454,港商野村,1560,45,89,-44,0.53,8,sell
8/27,2454,統一,5850,113,30,83,1.0,9,buy
8/27,2454,聯邦-三重,8585,3,34,-31,0.37,9,sell
8/27,2454,元大證券,9800,359,282,77,0.93,10,buy
8/27,2454,國票-長城,0037003700390075,5,31,-26,0.31,10,sell
8/27,2454,宏遠證券,1260,57,1,56,0.67,11,buy
8/27,2454,國泰-板橋,003800380038004b,19,43,-24,0.29,11,sell
8/27,2454,凱基-竹科,9272,53,5,48,0.58,12,buy
8/27,2454,國票-敦北法人,0037003700390063,2,24,-22,0.26,12,sell
8/27,2454,中國信託,6160,72,25,47,0.56,13,buy
8/27,2454,台新-五權西,0039004200320035,0,21,-21,0.25,13,sell
8/27,2454,永豐金證券,0039004100300030,131,87,44,0.53,14,buy
8/27,2454,國票-安和,003700370039005a,4,19,-15,0.18,14,sell
8/27,2454,法銀巴黎,8900,42,0,42,0.5,15,buy
8/27,2454,國泰-館前,0038003800380041,26,42,-16,0.19,15,sell
8/27,2308,台灣摩根士丹利,1470,1434,790,644,6.47,1,buy
8/27,2308,凱基,9200,229,1303,-1074,10.78,1,sell
8/27,2308,元大證券,9800,1174,618,556,5.58,2,buy
8/27,2308,美林,1440,317,943,-626,6.28,2,sell
8/27,2308,新加坡商瑞銀,1650,735,279,456,4.58,3,buy
8/27,2308,統一,5850,139,429,-290,2.91,3,sell
8/27,2308,國票-敦北法人,0037003700390063,275,1,274,2.75,4,buy
8/27,2308,永豐金-匯立,0039004100380031,11,247,-236,2.37,4,sell
8/27,2308,富邦證券,9600,361,149,212,2.13,5,buy
8/27,2308,香港上海匯豐,8960,0,205,-205,2.06,5,sell
8/27,2308,永豐金證券,0039004100300030,198,81,117,1.17,6,buy
8/27,2308,花旗環球,1590,103,272,-169,1.7,6,sell
8/27,2308,美商高盛,1480,876,772,104,1.04,7,buy
8/27,2308,臺銀,1040,2,102,-100,1.0,7,sell
8/27,2308,國泰證券,8880,82,9,73,0.73,8,buy
8/27,2308,兆豐證券,7000,5,87,-82,0.82,8,sell
8/27,2308,港商野村,1560,163,100,63,0.63,9,buy
8/27,2308,玉山-雙和,8841,6,51,-45,0.45,9,sell
8/27,2308,康和,8450,52,2,50,0.5,10,buy
8/27,2308,元大-南屯,9853,32,61,-29,0.29,10,sell
8/27,2308,凱基-台北,9268,390,351,39,0.39,11,buy
8/27,2308,群益金鼎-內湖,0039003100380064,2,30,-28,0.28,11,sell
8/27,2308,富邦-台北,9623,54,17,37,0.37,12,buy
8/27,2308,港商麥格理,1360,0,26,-26,0.26,12,sell
8/27,2308,永豐金-板新,003900410039004a,39,3,36,0.36,13,buy
8/27,2308,合庫證券,1020,4,23,-19,0.19,13,sell
8/27,2308,國票-安和,003700370039005a,41,8,33,0.33,14,buy
8/27,2308,元大-彰化民生,003900380039004a,4,23,-19,0.19,14,sell
8/27,2308,新光,8560,67,44,23,0.23,15,buy
8/27,2308,富邦-新店,9661,7,26,-19,0.19,15,sell
8/27,2382,美商高盛,1480,1012,68,944,11.24,1,buy
8/27,2382,花旗環球,1590,97,760,-663,7.89,1,sell
8/27,2382,美林,1440,975,199,776,9.24,2,buy
8/27,2382,摩根大通,8440,117,642,-525,6.25,2,sell
8/27,2382,新加坡商瑞銀,1650,902,246,656,7.81,3,buy
8/27,2382,臺銀,1040,1,329,-328,3.9,3,sell
8/27,2382,元大證券,9800,1392,750,642,7.64,4,buy
8/27,2382,統一,5850,4,204,-200,2.38,4,sell
8/27,2382,台灣摩根士丹利,1470,650,326,324,3.86,5,buy
8/27,2382,凱基,9200,19,152,-133,1.58,5,sell
8/27,2382,港商野村,1560,253,10,243,2.89,6,buy
8/27,2382,元大-信義,003900380039006d,0,75,-75,0.89,6,sell
8/27,2382,凱基-台北,9268,421,180,241,2.87,7,buy
8/27,2382,新光,8560,12,75,-63,0.75,7,sell
8/27,2382,富邦證券,9600,166,60,106,1.26,8,buy
8/27,2382,凱基-三重,9205,1,61,-60,0.71,8,sell
8/27,2382,凱基-中壢,9285,94,4,90,1.07,9,buy
8/27,2382,國泰-敦南,8888,57,113,-56,0.67,9,sell
8/27,2382,永豐金證券,0039004100300030,153,72,81,0.96,10,buy
8/27,2382,統一-敦南,5852,1,52,-51,0.61,10,sell
8/27,2382,元大-內湖,003900380039004e,67,6,61,0.73,11,buy
8/27,2382,富邦-台北,9623,20,63,-43,0.51,11,sell
8/27,2382,永豐金-匯立,0039004100380031,41,0,41,0.49,12,buy
8/27,2382,新光-台中,8561,14,53,-39,0.46,12,sell
8/27,2382,國泰證券,8880,65,25,40,0.48,13,buy
8/27,2382,富邦-仁愛,9676,31,68,-37,0.44,13,sell
8/27,2382,兆豐-三民,0037003000300068,41,8,33,0.39,14,buy
8/27,2382,元大-沙鹿,0039003800300064,1,36,-35,0.42,14,sell
8/27,2382,中國信託,6160,48,24,24,0.29,15,buy
8/27,2382,富邦-板橋,9655,8,42,-34,0.4,15,sell
8/27,2891,永豐金-匯立,0039004100380031,5246,32,5214,20.55,1,buy
8/27,2891,台灣摩根士丹利,1470,2226,7600,-5374,21.18,1,sell
8/27,2891,群益金鼎,9100,904,187,717,2.83,2,buy
8/27,2891,新加坡商瑞銀,1650,1180,3206,-2026,7.98,2,sell
8/27,2891,凱基-中壢,9285,526,8,518,2.04,3,buy
8/27,2891,美商高盛,1480,1146,2573,-1427,5.62,3,sell
8/27,2891,花旗環球,1590,923,480,443,1.75,4,buy
8/27,2891,元大證券,9800,1428,2782,-1354,5.34,4,sell
8/27,2891,國泰-敦南,8888,434,116,318,1.25,5,buy
8/27,2891,凱基-台北,9268,252,1512,-1260,4.97,5,sell
8/27,2891,華南永昌-嘉義,9314,228,0,228,0.9,6,buy
8/27,2891,美林,1440,425,1622,-1197,4.72,6,sell
8/27,2891,香港上海匯豐,8960,188,0,188,0.74,7,buy
8/27,2891,摩根大通,8440,1402,1901,-499,1.97,7,sell
8/27,2891,台新-五權西,0039004200320035,181,0,181,0.71,8,buy
8/27,2891,富邦證券,9600,10,497,-487,1.92,8,sell
8/27,2891,玉山證券,8840,169,1,168,0.66,9,buy
8/27,2891,群益金鼎-大甲,0039003100380067,13,265,-252,0.99,9,sell
8/27,2891,新光,8560,185,42,143,0.56,10,buy
8/27,2891,永豐金證券,0039004100300030,99,251,-152,0.6,10,sell
8/27,2891,國泰-板橋,003800380038004b,108,11,97,0.38,11,buy
8/27,2891,永豐金-松山,0039004100390031,6,79,-73,0.29,11,sell
8/27,2891,港商野村,1560,120,26,94,0.37,12,buy
8/27,2891,台新,0039004200300030,48,116,-68,0.27,12,sell
8/27,2891,中國信託-永康,6163,89,0,89,0.35,13,buy
8/27,2891,元大-永和,9891,6,52,-46,0.18,13,sell
8/27,2891,富邦-陽明,9604,87,11,76,0.3,14,buy
8/27,2891,港商麥格理,1360,140,168,-28,0.11,14,sell
8/27,2891,華南永昌-大安,9307,77,2,75,0.3,15,buy
8/27,2891,統一,5850,45,68,-23,0.09,15,sell
8/27,2881,永豐金-匯立,0039004100380031,2596,15,2581,11.97,1,buy
8/27,2881,美商高盛,1480,483,2433,-1950,9.04,1,sell
8/27,2881,國泰證券,8880,2286,1,2285,10.6,2,buy
8/27,2881,台灣摩根士丹利,1470,2529,4089,-1560,7.23,2,sell
8/27,2881,中國信託,6160,1055,25,1030,4.78,3,buy
8/27,2881,新加坡商瑞銀,1650,677,1821,-1144,5.3,3,sell
8/27,2881,康和,8450,942,0,942,4.37,4,buy
8/27,2881,美林,1440,162,695,-533,2.47,4,sell
8/27,2881,富邦證券,9600,806,11,795,3.69,5,buy
8/27,2881,凱基-台北,9268,1095,1584,-489,2.27,5,sell
8/27,2881,凱基,9200,786,0,786,3.64,6,buy
8/27,2881,元大證券,9800,1140,1498,-358,1.66,6,sell
8/27,2881,臺銀,1040,725,18,707,3.28,7,buy
8/27,2881,統一-城中,5854,0,330,-330,1.53,7,sell
8/27,2881,新光,8560,713,64,649,3.01,8,buy
8/27,2881,富邦-木柵,003900360031004d,0,286,-286,1.33,8,sell
8/27,2881,統一,5850,368,3,365,1.69,9,buy
8/27,2881,台新-台北,0039004200320030,0,256,-256,1.19,9,sell
8/27,2881,富邦-建國,9658,354,36,318,1.47,10,buy
8/27,2881,兆豐-城中,0037003000300057,816,1065,-249,1.15,10,sell
8/27,2881,兆豐證券,7000,317,0,317,1.47,11,buy
8/27,2881,凱基-中壢,9285,3,228,-225,1.04,11,sell
8/27,2881,華南永昌,9300,229,43,186,0.86,12,buy
8/27,2881,兆豐-岡山,0037003000300073,0,200,-200,0.93,12,sell
8/27,2881,港商野村,1560,150,43,107,0.5,13,buy
8/27,2881,合庫證券,1020,9,177,-168,0.78,13,sell
8/27,2881,香港上海匯豐,8960,70,2,68,0.32,14,buy
8/27,2881,元大-左營,0039003800390044,0,115,-115,0.53,14,sell
8/27,2881,元大-台南,9896,88,36,52,0.24,15,buy
8/27,2881,台灣企銀-民雄,0031003100310041,0,100,-100,0.46,15,sell
8/27,2882,摩根大通,8440,3207,666,2541,14.29,1,buy
8/27,2882,台灣摩根士丹利,1470,1508,3126,-1618,9.1,1,sell
8/27,2882,華南永昌-敦南,9347,1702,17,1685,9.47,2,buy
8/27,2882,美商高盛,1480,472,1804,-1332,7.49,2,sell
8/27,2882,中國信託,6160,1553,28,1525,8.57,3,buy
8/27,2882,凱基-台北,9268,739,1690,-951,5.35,3,sell
8/27,2882,元大證券,9800,1187,629,558,3.14,4,buy
8/27,2882,新加坡商瑞銀,1650,1375,2109,-734,4.13,4,sell
8/27,2882,富邦-永和,9654,301,8,293,1.65,5,buy
8/27,2882,國泰-館前,0038003800380041,15,708,-693,3.9,5,sell
8/27,2882,第一金-中壢,0035003300380059,288,0,288,1.62,6,buy
8/27,2882,華南永昌,9300,1,423,-422,2.37,6,sell
8/27,2882,彰銀,1230,221,1,220,1.24,7,buy
8/27,2882,花旗環球,1590,341,653,-312,1.75,7,sell
8/27,2882,群益金鼎-大甲,0039003100380067,200,0,200,1.12,8,buy
8/27,2882,美林,1440,551,834,-283,1.59,8,sell
8/27,2882,富邦證券,9600,208,14,194,1.09,9,buy
8/27,2882,福邦證券,6480,0,151,-151,0.85,9,sell
8/27,2882,台灣企銀-民雄,0031003100310041,139,2,137,0.77,10,buy
8/27,2882,港商野村,1560,194,324,-130,0.73,10,sell
8/27,2882,香港上海匯豐,8960,80,0,80,0.45,11,buy
8/27,2882,中國信託-高雄,003600310036004b,0,122,-122,0.69,11,sell
8/27,2882,台新-五權西,0039004200320035,71,0,71,0.4,12,buy
8/27,2882,華南永昌-古亭,9309,0,102,-102,0.57,12,sell
8/27,2882,華南永昌-世貿,9334,69,6,63,0.35,13,buy
8/27,2882,富邦-建國,9658,25,105,-80,0.45,13,sell
8/27,2882,元大-成功,003900380039004c,61,2,59,0.33,14,buy
8/27,2882,港商麥格理,1360,24,90,-66,0.37,14,sell
8/27,2882,元大-頭份,0039003800330055,50,0,50,0.28,15,buy
8/27,2882,凱基-竹科,9272,0,62,-62,0.35,15,sell
8/27,2303,永豐金證券,0039004100300030,2792,895,1897,2.27,1,buy
8/27,2303,美商高盛,1480,1825,6957,-5132,6.15,1,sell
8/27,2303,港商野村,1560,2217,327,1890,2.26,2,buy
8/27,2303,富邦證券,9600,574,5385,-4811,5.76,2,sell
8/27,2303,宏遠證券,1260,1579,6,1573,1.88,3,buy
8/27,2303,台灣摩根士丹利,1470,967,5466,-4499,5.39,3,sell
8/27,2303,統一-南京,0035003800350055,1033,11,1022,1.22,4,buy
8/27,2303,新加坡商瑞銀,1650,1473,4761,-3288,3.94,4,sell
8/27,2303,香港上海匯豐,8960,872,0,872,1.04,5,buy
8/27,2303,統一,5850,310,2710,-2400,2.87,5,sell
8/27,2303,國票-敦北法人,0037003700390063,861,1,860,1.03,6,buy
8/27,2303,凱基-台北,9268,2500,4386,-1886,2.26,6,sell
8/27,2303,國泰-敦南,8888,2035,1331,704,0.84,7,buy
8/27,2303,美林,1440,1600,2881,-1281,1.53,7,sell
8/27,2303,國泰證券,8880,613,74,539,0.65,8,buy
8/27,2303,摩根大通,8440,3147,4341,-1194,1.43,8,sell
8/27,2303,元大-土城永寧,9875,561,80,481,0.58,9,buy
8/27,2303,元大證券,9800,5444,6443,-999,1.2,9,sell
8/27,2303,元大-金華,9878,417,7,410,0.49,10,buy
8/27,2303,玉山證券,8840,265,1178,-913,1.09,10,sell
8/27,2303,康和,8450,405,1,404,0.48,11,buy
8/27,2303,兆豐-忠孝,0037003000300061,15,710,-695,0.83,11,sell
8/27,2303,凱基,9200,701,391,310,0.37,12,buy
8/27,2303,統一-城中,5854,264,692,-428,0.51,12,sell
8/27,2303,新光,8560,718,408,310,0.37,13,buy
8/27,2303,群益金鼎,9100,883,1257,-374,0.45,13,sell
8/27,2303,元大-信義,003900380039006d,322,46,276,0.33,14,buy
8/27,2303,永豐金-內湖,0039004100390067,29,317,-288,0.34,14,sell
8/27,2303,富邦-新板,0039003600310048,301,70,231,0.28,15,buy
8/27,2303,大展,5050,26,268,-242,0.29,15,sell
8/27,3711,港商麥格理,1360,987,284,703,5.75,1,buy
8/27,3711,富邦證券,9600,46,1141,-1095,8.96,1,sell
8/27,3711,摩根大通,8440,758,109,649,5.31,2,buy
8/27,3711,永豐金證券,0039004100300030,144,1153,-1009,8.26,2,sell
8/27,3711,美商高盛,1480,1170,696,474,3.88,3,buy
8/27,3711,花旗環球,1590,138,1064,-926,7.58,3,sell
8/27,3711,元大證券,9800,1064,687,377,3.09,4,buy
8/27,3711,統一,5850,186,404,-218,1.78,4,sell
8/27,3711,凱基,9200,371,1,370,3.03,5,buy
8/27,3711,美林,1440,721,931,-210,1.72,5,sell
8/27,3711,新加坡商瑞銀,1650,534,388,146,1.19,6,buy
8/27,3711,群益金鼎,9100,122,315,-193,1.58,6,sell
8/27,3711,元大-虎尾,003900380030006c,116,4,112,0.92,7,buy
8/27,3711,康和,8450,0,129,-129,1.06,7,sell
8/27,3711,凱基-台北,9268,500,400,100,0.82,8,buy
8/27,3711,永豐金-匯立,0039004100380031,21,107,-86,0.7,8,sell
8/27,3711,統一-三重,003500380035004a,94,3,91,0.74,9,buy
8/27,3711,台灣摩根士丹利,1470,311,364,-53,0.43,9,sell
8/27,3711,華南永昌,9300,101,14,87,0.71,10,buy
8/27,3711,香港上海匯豐,8960,0,45,-45,0.37,10,sell
8/27,3711,兆豐-大同,0037003000300053,50,0,50,0.41,11,buy
8/27,3711,台新-台南,0039004200310036,9,49,-40,0.33,11,sell
8/27,3711,台灣企銀-北高雄,0031003100310046,45,1,44,0.36,12,buy
8/27,3711,港商野村,1560,66,87,-21,0.17,12,sell
8/27,3711,台中銀,6110,43,7,36,0.29,13,buy
8/27,3711,永豐金-南投,003900410039004d,9,29,-20,0.16,13,sell
8/27,3711,玉山證券,8840,58,28,30,0.25,14,buy
8/27,3711,群益金鼎-台中,9184,8,26,-18,0.15,14,sell
8/27,3711,國泰證券,8880,27,2,25,0.2,15,buy
8/27,3711,永豐金-松山,0039004100390031,8,22,-14,0.11,15,sell
8/27,2603,台灣摩根士丹利,1470,2787,684,2103,7.46,1,buy
8/27,2603,元大-松江,9801,30,3263,-3233,11.47,1,sell
8/27,2603,美林,1440,1229,330,899,3.19,2,buy
8/27,2603,新加坡商瑞銀,1650,880,2598,-1718,6.1,2,sell
8/27,2603,凱基-台北,9268,2052,1646,406,1.44,3,buy
8/27,2603,法銀巴黎,8900,21,1735,-1714,6.08,3,sell
8/27,2603,元大證券,9800,2357,2046,311,1.1,4,buy
8/27,2603,永豐金-敦北,0039004100380039,6,781,-775,2.75,4,sell
8/27,2603,富邦-虎尾,9697,306,15,291,1.03,5,buy
8/27,2603,富邦證券,9600,69,536,-467,1.66,5,sell
8/27,2603,香港上海匯豐,8960,294,26,268,0.95,6,buy
8/27,2603,台新-北新莊,0039004200320038,10,441,-431,1.53,6,sell
8/27,2603,摩根大通,8440,921,669,252,0.89,7,buy
8/27,2603,統一-仁愛,0035003800350063,6,303,-297,1.05,7,sell
8/27,2603,花旗環球,1590,295,61,234,0.83,8,buy
8/27,2603,宏遠-館前,0031003200360055,9,267,-258,0.92,8,sell
8/27,2603,群益金鼎-東湖,003900310038004b,205,3,202,0.72,9,buy
8/27,2603,凱基-中山,9229,15,206,-191,0.68,9,sell
8/27,2603,台新-烏日,0039004200320063,229,32,197,0.7,10,buy
8/27,2603,國票-北高雄,003700370039004a,77,227,-150,0.53,10,sell
8/27,2603,永豐金證券,0039004100300030,471,291,180,0.64,11,buy
8/27,2603,凱基-宜蘭,003900320030004d,7,151,-144,0.51,11,sell
8/27,2603,華南永昌-林口,9317,181,2,179,0.64,12,buy
8/27,2603,國票-安和,003700370039005a,39,172,-133,0.47,12,sell
8/27,2603,元大-館前,003900380034004b,176,51,125,0.44,13,buy
8/27,2603,台新,0039004200300030,173,280,-107,0.38,13,sell
8/27,2603,美商高盛,1480,1378,1257,121,0.43,14,buy
8/27,2603,永豐金-板盛,0039004100390059,19,119,-100,0.35,14,sell
8/27,2603,國泰-松江,8883,152,35,117,0.42,15,buy
8/27,2603,元大-鳳山,003900380033005a,13,110,-97,0.34,15,sell
8/27,2609,台灣摩根士丹利,1470,10119,3425,6694,11.07,1,buy
8/27,2609,美商高盛,1480,1624,7488,-5864,9.69,1,sell
8/27,2609,凱基-台北,9268,5795,2317,3478,5.75,2,buy
8/27,2609,摩根大通,8440,1987,3083,-1096,1.81,2,sell
8/27,2609,美林,1440,2755,438,2317,3.83,3,buy
8/27,2609,元大-天母,0039003800310049,20,665,-645,1.07,3,sell
8/27,2609,元大證券,9800,5923,3973,1950,3.22,4,buy
8/27,2609,港商野村,1560,64,521,-457,0.76,4,sell
8/27,2609,法銀巴黎,8900,444,0,444,0.73,5,buy
8/27,2609,國泰-敦南,8888,1349,1776,-427,0.71,5,sell
8/27,2609,永豐金-彰化,0039004100390073,207,6,201,0.33,6,buy
8/27,2609,台新,0039004200300030,206,485,-279,0.46,6,sell
8/27,2609,群益金鼎,9100,475,302,173,0.29,7,buy
8/27,2609,臺銀-高雄,0031003000340043,81,358,-277,0.46,7,sell
8/27,2609,永豐金-北高雄,0039004100390072,137,23,114,0.19,8,buy
8/27,2609,凱基-大里,0039003200300057,25,219,-194,0.32,8,sell
8/27,2609,富邦-高雄,9659,167,70,97,0.16,9,buy
8/27,2609,國泰-台中,8882,192,350,-158,0.26,9,sell
8/27,2609,富邦證券,9600,359,268,91,0.15,10,buy
8/27,2609,富邦-台北,9623,375,528,-153,0.25,10,sell
8/27,2609,華南永昌-虎尾,9377,113,27,86,0.14,11,buy
8/27,2609,元大-土城,9897,18,171,-153,0.25,11,sell
8/27,2609,合庫-高雄,1023,119,35,84,0.14,12,buy
8/27,2609,元大-南京,9862,21,172,-151,0.25,12,sell
8/27,2609,大昌-安康,6462,119,39,80,0.13,13,buy
8/27,2609,台新-城中,0039004200320045,10,151,-141,0.23,13,sell
8/27,2609,土銀-高雄,1033,72,5,67,0.11,14,buy
8/27,2609,新光-台中,8561,79,211,-132,0.22,14,sell
8/27,2609,群益金鼎-民權,9131,76,15,61,0.1,15,buy
8/27,2609,國票-九鼎,0037003700390050,20,150,-130,0.21,15,sell
8/27,2615,新加坡商瑞銀,1650,2722,1372,1350,2.96,1,buy
8/27,2615,台灣摩根士丹利,1470,2932,5571,-2639,5.79,1,sell
8/27,2615,美林,1440,774,181,593,1.3,2,buy
8/27,2615,摩根大通,8440,1256,3474,-2218,4.87,2,sell
8/27,2615,元大-信義安和,0039003800300052,372,6,366,0.8,3,buy
8/27,2615,美商高盛,1480,1660,3741,-2081,4.57,3,sell
8/27,2615,凱基,9200,466,133,333,0.73,4,buy
8/27,2615,花旗環球,1590,1062,2089,-1027,2.26,4,sell
8/27,2615,元大證券,9800,4121,3796,325,0.71,5,buy
8/27,2615,元大-天母,0039003800310049,79,534,-455,1.0,5,sell
8/27,2615,國票證券,7790,391,100,291,0.64,6,buy
8/27,2615,國票-安和,003700370039005a,11,400,-389,0.85,6,sell
8/27,2615,國泰證券,8880,308,21,287,0.63,7,buy
8/27,2615,港商野村,1560,34,294,-260,0.57,7,sell
8/27,2615,永豐金證券,0039004100300030,524,316,208,0.46,8,buy
8/27,2615,兆豐-三民,0037003000300068,34,190,-156,0.34,8,sell
8/27,2615,凱基-屏東,0039003200320043,202,13,189,0.42,9,buy
8/27,2615,富邦-敦南,9663,35,165,-130,0.29,9,sell
8/27,2615,統一,5850,265,80,185,0.41,10,buy
8/27,2615,台新-敦南,0039004200320051,6,100,-94,0.21,10,sell
8/27,2615,兆豐-埔墘,003700300030004e,150,0,150,0.33,11,buy
8/27,2615,合庫-西台中,0031003000320046,23,117,-94,0.21,11,sell
8/27,2615,凱基-林口,9257,160,26,134,0.29,12,buy
8/27,2615,富邦-建國,9658,52,146,-94,0.21,12,sell
8/27,2615,台新-大昌,0039004200320044,146,12,134,0.29,13,buy
8/27,2615,華南永昌-板橋,9349,7,100,-93,0.2,13,sell
8/27,2615,凱基-基隆,0039003200300048,135,3,132,0.29,14,buy
8/27,2615,華南永昌-頭份,9343,6,80,-74,0.16,14,sell
8/27,2615,永豐金-敦北,0039004100380039,126,4,122,0.27,15,buy
8/27,2615,群益金鼎-北高雄,0039003100330052,22,94,-72,0.16,15,sell
8/27,2618,元大證券,9800,6452,978,5474,21.97,1,buy
8/27,2618,新加坡商瑞銀,1650,1190,4419,-3229,12.96,1,sell
8/27,2618,元大-松江,9801,5336,12,5324,21.37,2,buy
8/27,2618,摩根大通,8440,1439,3978,-2539,10.19,2,sell
8/27,2618,合庫證券,1020,601,0,601,2.41,3,buy
8/27,2618,美商高盛,1480,343,2227,-1884,7.56,3,sell
8/27,2618,國票-敦北法人,0037003700390063,456,0,456,1.83,4,buy
8/27,2618,凱基-台北,9268,409,1925,-1516,6.08,4,sell
8/27,2618,香港上海匯豐,8960,410,0,410,1.65,5,buy
8/27,2618,凱基,9200,18,1049,-1031,4.14,5,sell
8/27,2618,美林,1440,631,250,381,1.53,6,buy
8/27,2618,港商野村,1560,17,933,-916,3.68,6,sell
8/27,2618,玉山證券,8840,402,171,231,0.93,7,buy
8/27,2618,凱基-中山,9229,0,690,-690,2.77,7,sell
8/27,2618,亞東,2180,218,3,215,0.86,8,buy
8/27,2618,兆豐-高雄,003700300030005a,4,405,-401,1.61,8,sell
8/27,2618,臺銀,1040,207,2,205,0.82,9,buy
8/27,2618,國票-安和,003700370039005a,0,230,-230,0.92,9,sell
